iter	MAPE	RMSE
287	0.2474093554	551393.1343
288	0.2469520723	550890.5945
289	0.2467552241	550681.1713
290	0.2464370966	550434.4385
291	0.2460625363	549970.763
292	0.2459826315	549311.6073
293	0.2457935682	548560.7248
294	0.2456597731	548046.6662
295	0.2453966851	547870.4114
296	0.2452467751	547617.5901
297	0.2453163962	546805.7481
298	0.2451711945	546193.5596
299	0.2446016051	544833.949
300	0.244385694	543384.5304
301	0.2442670909	543006.3938
302	0.2440727181	542552.3282
303	0.244117923	541744.2147
304	0.2435461626	541417.817
305	0.2433251044	541200.2172
306	0.243289287	541069.6132
307	0.2433579017	540239.6045
308	0.2432058555	539224.111
309	0.2427223539	538280.5836
310	0.2425311474	538048.6022
311	0.2422516894	536764.3502
312	0.2421618476	535802.9252
313	0.2420234692	535475.822
314	0.241899771	534809.0124
315	0.2417819285	534571.8049
316	0.2414905097	533436.7898
317	0.2406208003	532913.5305
318	0.2405542723	532178.8548
319	0.2402635878	531771.2818
320	0.2402573514	530651.4071
321	0.2394611974	529169.2096
322	0.2391894939	528564.227
323	0.2387915423	528240.2652
324	0.2388301896	527866.7768
325	0.2384868493	527070.977
326	0.2384580966	526859.3271
327	0.237590204	526521.6416
328	0.237593355	526454.1656
329	0.2373520322	526000.5683
330	0.2371585788	525164.54
331	0.237052415	524934.7084
332	0.2370633169	524640.7477
333	0.2366201444	524196.7929
334	0.235967799	523578.9483
335	0.2358584809	523299.6594
336	0.2357433857	522787.2663
337	0.2357012023	522608.7169
338	0.2355055414	522510.1624
339	0.2355303484	522413.2748
340	0.2355459723	522000.1254
341	0.2353398631	521663.8659
342	0.2351034907	521359.7408
343	0.2350505729	520876.9104
344	0.2349899281	520844.8335
345	0.2349839692	520284.8928
346	0.2347296537	519742.2559
347	0.2346841922	519321.4155
348	0.2346862913	518418.1807
349	0.2345556269	518013.6759
350	0.2345849545	517935.0067
351	0.2344439086	516821.6596
352	0.2343707716	515644.986
353	0.2344161205	514663.1294
354	0.2343379756	514588.3744
355	0.2341249676	514347.8801
356	0.2338950625	513547.3225
357	0.2339268349	513165.6122
358	0.2340252936	513070.6995
359	0.2339857825	512251.6955
360	0.2340509594	511795.0196
361	0.2335953345	510714.8641
362	0.2332747031	510263.0944
363	0.2332580351	510116.1024
364	0.2332109001	510039.2532
365	0.2330928838	509930.8962
366	0.2329619749	508885.1147
367	0.2330002154	508823.6494
368	0.2328795366	508627.2767
369	0.232176431	508162.6889
370	0.2322134954	508001.6541
371	0.2322044267	507926.7863
372	0.2320656564	506504.5942
373	0.2319483353	506139.4408
374	0.231765379	505752.1662
375	0.2313349045	505082.7533
376	0.2309960222	504788.3105
377	0.2308476644	504738.6853
378	0.2308487575	504721.2919
379	0.230755427	503827.0236
380	0.2304452934	503484.8222
381	0.2302344487	502638.5874
382	0.2301820894	502239.9718
383	0.2300169442	501412.8165
384	0.230028433	501346.4409
385	0.2297203687	500478.0744
386	0.2296673306	500402.4549
387	0.2294408402	499517.5345
388	0.2293774011	499429.2529
389	0.2293691828	498891.1297
390	0.2293033841	498753.7152
391	0.2292082229	498575.0093
392	0.2291664522	498525.3818
393	0.2291620975	498033.1841
394	0.2291374857	497935.9628
395	0.2292024824	497545.5876
396	0.2291935991	497389.602
397	0.2290130906	496740.4184
398	0.2289120112	496144.2
399	0.2288389521	495819.0136
400	0.2289236794	495608.6285
401	0.2286841633	494599.4233
402	0.2285529045	493889.4
403	0.2278537846	493468.2641
404	0.2278616064	493318.8385
405	0.2278458414	493301.6601
406	0.2267409927	492551.8035
407	0.2267581141	492274.1229
408	0.2259513708	491924.3734
409	0.2259358497	491910.0916
410	0.2258748757	491040.5445
411	0.2258834673	490950.7996
412	0.2256437497	490392.1748
413	0.2256598085	490249.1981
414	0.2253493565	490159.8469
415	0.2250658846	489592.2685
416	0.2248744707	489257.9732
417	0.2249108423	488496.7633
418	0.2249451095	488296.1844
419	0.2242021851	487832.5372
420	0.2237855553	487344.4217
421	0.223712573	487102.9921
422	0.2234381773	486779.829
423	0.2234254789	486535.2369
424	0.2234403611	485899.6048
425	0.2233453012	485440.5123
426	0.2233429193	485337.2353
427	0.2230810525	484967.4169
428	0.2230929498	484762.539
429	0.2230147614	484007.8738
430	0.2230079716	483288.2873
431	0.2229182389	482999.1679
432	0.2228824026	482907.4253
433	0.2228508151	482838.9594
434	0.2225662499	482183.1241
435	0.2225660185	481868.5467
436	0.2224758129	481727.5197
437	0.2219777082	481358.9374
438	0.221999472	481303.025
439	0.2220092569	480586.2707
440	0.2220770388	480196.1702
441	0.2219093024	479552.5324
442	0.2219428516	479228.4865
443	0.2216438806	478666.5816
444	0.2214573342	478172.6193
445	0.2214420971	477800.6474
446	0.2208244316	477017.4789
447	0.2208205054	476962.0367
448	0.2206726211	476609.7016
449	0.2206104733	476201.7229
450	0.220625296	476073.7439
451	0.2205565972	475475.1571
452	0.2205342507	475280.4549
453	0.2205182932	475219.39
454	0.2202657748	475078.6471
455	0.2202203879	474575.3528
456	0.220200902	474472.6564
457	0.2197113186	474308.7424
458	0.219412876	474056.2441
459	0.2194149527	473867.1203
460	0.2193800266	473378.023
461	0.2191846644	472954.8083
462	0.2190908951	472860.8013
463	0.2190997442	472822.4423
464	0.2188530861	472570.7265
465	0.218839367	472521.0937
466	0.218870923	472474.1817
467	0.2188586539	472191.9161
468	0.2188448725	471698.8394
469	0.2188116952	471392.4725
470	0.2187719712	471358.7874
471	0.2186382768	471095.6379
472	0.2184027395	470977.2276
473	0.2184606297	470741.4913
474	0.2184358673	470712.0868
475	0.2181722184	469908.5074
476	0.2182314007	469770.9831
477	0.2178966521	469354.7148
478	0.2176224405	468926.0085
479	0.2175271356	467991.932
480	0.2172877199	467593.4054
481	0.2170961743	467454.131
482	0.217016195	467072.9129
483	0.2169869718	466901.6572
484	0.2169189252	466545.0402
485	0.2167678192	466312.8793
486	0.2167722205	466232.0121
487	0.2165176337	466123.1735
488	0.2165074784	466066.8173
489	0.2163209056	465740.32
490	0.2163143566	465652.3898
491	0.2161692014	465188.4235
492	0.2161129296	464969.7442
493	0.216093467	464893.6758
494	0.2161320584	464545.2073
495	0.2161491029	464505.3475
496	0.2161701333	464392.7429
497	0.215747967	464223.4451
498	0.2156594443	463988.4907
499	0.2155878677	463946.2964
500	0.215428459	463792.8516
501	0.215106988	463415.7029
502	0.215144171	462790.7149
503	0.2151123991	461861.5074
504	0.2151059312	461818.7002
505	0.2151205169	461724.3757
506	0.2148319	461427.0383
507	0.2145972502	460991.3137
508	0.2143453693	460457.9145
509	0.2143002745	460039.9438
510	0.2140896396	459663.9457
511	0.213839772	458940.4361
512	0.2138049541	458349.9935
513	0.2138005529	457663.6932
514	0.2138157297	456995.1045
515	0.2138036065	456741.0107
516	0.2136151187	456694.9325
517	0.2135478564	456385.5215
518	0.2135331671	455999.2825
519	0.2134947087	455789.9365
520	0.213332935	455219.26
521	0.2127281044	454979.7448
522	0.2125168888	454671.8363
523	0.2123796444	454615.6637
524	0.2124098373	454246.6023
525	0.2124033129	453996.1932
526	0.2123825661	453562.5856
527	0.2123792637	453455.8991
528	0.212387692	453416.8396
529	0.2123241351	453112.1387
530	0.2123449487	453019.5872
531	0.212302708	452925.8329
532	0.2123138147	452419.6434
533	0.2122538569	452023.0484
534	0.2119398066	451550.9442
535	0.21170907	451233.2738
536	0.2115974973	450707.7656
537	0.2115962319	450659.7678
538	0.2110928789	450285.3903
539	0.2108938652	450131.0752
540	0.2108631831	449934.4079
541	0.2108747541	449895.5539
542	0.2108434729	449825.6192
543	0.2107742534	449751.3848
544	0.2108031853	449619.8632
545	0.2106191388	449562.1554
546	0.2106629151	449478.8866
547	0.2105496664	449146.5252
548	0.2103436225	448889.4822
549	0.2101100753	448261.1659
550	0.2100997369	448131.1946
551	0.2100991998	448094.5904
552	0.2100041107	447781.2204
553	0.2099844489	447317.0684
554	0.2098782597	447167.237
555	0.2098777132	447101.4501
556	0.2094234904	446547.6785
557	0.2094293329	446257.6207
558	0.209334897	446035.0884
559	0.209283785	445803.8404
560	0.2091471758	445326.9458
561	0.2091038192	444980.3803
562	0.2088827895	444845.7485
563	0.2088324276	444721.8709
564	0.2088221283	444232.7466
565	0.2087862563	444131.5688
566	0.2086169623	443994.8598
567	0.2084776896	443820.991
568	0.2084118313	443312.8244
569	0.2084176612	442953.9627
570	0.2083815797	442878.8268
571	0.2083479109	442626.6679
572	0.2082477658	442279.0359
573	0.2082805876	441742.4715
574	0.208280333	441723.5464
575	0.2082225572	440999.6373
576	0.2082539894	440872.5612
577	0.2082686987	440805.8181
578	0.208190732	440720.2283
579	0.2081650804	440460.4069
580	0.2081099246	440279.2925
581	0.2081272282	440133.3576
582	0.2080437787	439961.9034
583	0.2079609097	439627.9714
584	0.2079735213	439589.8414
585	0.2078101144	439385.4364
586	0.2077449397	438963.3273
587	0.2076490398	438558.7159
588	0.2072770959	437993.9978
589	0.2069832616	437721.4225
590	0.2070144939	437620.1706
591	0.207035545	437598.4226
592	0.2070282552	437445.512
593	0.2070631055	437072.3498
594	0.2070684784	436600.7284
595	0.2071024688	436120.1284
596	0.2071114648	435979.1782
597	0.2071333031	435701.9701
598	0.2071118151	435406.8789
599	0.2068323569	435139.0363
600	0.2067425887	434877.2369
601	0.2066935513	434838.0609
602	0.2067261168	434492.3634
603	0.2066672447	434080.8799
604	0.2065678659	433641.3649
605	0.206283641	433365.9124
606	0.2061878295	432957.7873
607	0.2061241524	432267.3196
608	0.2060914818	431839.5734
609	0.2060810085	431806.3961
610	0.2060403758	431496.2422
611	0.2058383062	431420.6027
612	0.205845429	431220.8899
613	0.2058713257	431148.0433
614	0.2055093155	430688.4289
615	0.2052951824	430516.8595
616	0.205163306	430462.4368
617	0.2051178484	430170.5031
618	0.2049848416	430057.0401
619	0.2049349411	429913.8792
620	0.2048979661	429751.3866
621	0.2049201974	429327.536
622	0.204902918	429174.3351
623	0.2045909007	428754.1707
624	0.2045366001	428555.1538
625	0.2044698211	428265.5244
626	0.2044635233	428114.0084
627	0.2044366778	427882.2935
628	0.2044490836	427783.7002
629	0.2042495087	427511.8496
630	0.2041573814	427397.8403
